County,Public Health Region,La Paz Border Designation,Urban Rural Designation,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2023 Population,2024 Population,Assistant Behavioral Analysts and Behavioral Analysts 2020,Assistant Behavioral Analysts and Behavioral Analysts 2021,Assistant Behavioral Analysts and Behavioral Analysts 2022,Assistant Behavioral Analysts and Behavioral Analysts 2023,Assistant Behavioral Analysts and Behavioral Analysts 2024,"Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2015","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2016","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2017","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2018","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2019","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2020","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2021","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2022","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2023","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2024",Licensed Professional Counselor 2015,Licensed Professional Counselor 2016,Licensed Professional Counselor 2017,Licensed Professional Counselor 2018,Licensed Professional Counselor 2019,Licensed Professional Counselor 2020,Licensed Professional Counselor 2021,Licensed Professional Counselor 2022,Licensed Professional Counselor 2023,Licensed Professional Counselor 2024,"Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2015","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2016","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2017","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2018","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2019","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2020","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2021","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2022","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2023","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2024",Licensed Specialist School Psychologist 2015,Licensed Specialist School Psychologist 2016,Licensed Specialist School Psychologist 2017,Licensed Specialist School Psychologist 2018,Licensed Specialist School Psychologist 2019,Licensed Specialist School Psychologist 2020,Licensed Specialist School Psychologist 2021,Licensed Specialist School Psychologist 2022,Licensed Specialist School Psychologist 2023,Licensed Specialist School Psychologist 2024,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2015,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2016,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2017,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2018,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2019,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2020,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2021,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2022,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2023,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2024,Psychiatrist 2015,Psychiatrist 2016,Psychiatrist 2017,Psychiatrist 2018,Psychiatrist 2019,Psychiatrist 2020,Psychiatrist 2021,Psychiatrist 2022,Psychiatrist 2023,Psychiatrist 2024
 Dawson ,PHR 1,Non-Border,Rural,13671,13666,13644,13629,13611,13592,13567,13543,13528,13513,1,1,1,0,0,5,4,6,7,7,7,3,2,2,2,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 De Witt ,PHR 8,Non-Border,Rural,20855,21030,21199,21374,21573,21737,21907,22078,984554,1015995,0,0,0,284,303,492,517,544,573,607,614,698,691,757,810,649,689,740,821,895,1016,1012,987,1054,1155,177,186,181,183,185,198,200,197,214,222,110,121,116,127,119,125,127,135,138,155,103,105,108,121,133,137,158,171,190,219,31,31,39,39,46,48,48,55,55,54
 Deaf Smith ,PHR 1,Non-Border,Rural,18697,18578,18470,18352,18255,18143,18043,17955,22238,22398,0,0,0,0,0,10,9,9,9,9,9,6,4,4,5,8,8,9,10,10,13,11,13,11,10,1,1,1,1,2,2,3,2,2,2,1,1,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Delta ,PHR 4/5N,Non-Border,Suburban,5299,5323,5340,5355,5366,5367,5370,5375,17865,17786,0,0,0,0,0,12,14,14,13,13,13,8,6,7,7,5,5,5,5,5,5,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Denton ,PHR 2/3,Non-Border,Suburban,771688,795196,819532,844707,870845,897953,925643,954471,5382,5375,187,213,248,0,0,2,1,1,1,0,1,1,1,3,4,1,1,1,2,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
 Dickens ,PHR 1,Non-Border,Rural,2258,2234,2223,2204,2188,2174,2149,2126,2101,2082,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dimmit ,PHR 8,Border,Rural,10769,10955,11140,11335,11533,11743,11974,12197,12426,12652,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,4,3,3,3,2,2,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Donley ,PHR 1,Non-Border,Rural,3524,3509,3488,3461,3440,3410,3386,3357,3325,3301,0,0,0,0,0,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Duval ,PHR 11,Border,Rural,11824,11836,11822,11814,11803,11796,11771,11727,11698,11658,0,0,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,3,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Eastland ,PHR 2/3,Non-Border,Rural,18411,18379,18357,18307,18261,18205,18149,18087,18022,17956,0,0,0,0,1,10,10,10,9,10,11,8,7,8,5,11,11,10,13,12,12,8,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
 Ector ,PHR 9/10,Non-Border,Urban,158753,163571,168589,173797,179208,184841,190713,196837,203192,209823,1,2,1,1,2,48,50,45,45,43,40,37,38,32,41,60,60,61,65,66,64,63,59,56,59,12,12,11,10,9,7,7,7,6,4,4,3,3,4,4,3,3,2,2,3,4,2,1,1,1,1,0,0,1,2,3,4,4,4,3,3,3,3,4,4
 Edwards ,PHR 8,Border,Rural,1997,2002,2009,2012,2004,1991,1979,1965,1953,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 El Paso ,PHR 9/10,Border,Urban,839545,847036,854479,861806,869040,876120,883160,890020,187001,190181,33,46,53,22,28,66,74,87,91,101,106,146,149,153,178,108,109,123,131,139,150,165,174,182,206,6,8,9,10,11,11,11,12,10,13,7,6,8,7,11,10,14,16,16,14,11,9,11,10,12,11,13,11,10,15,2,2,3,5,4,3,2,2,2,3
 Ellis ,PHR 2/3,Non-Border,Suburban,163301,166103,168947,171816,174749,177721,180752,183842,896675,903116,9,14,17,61,65,573,596,629,665,685,699,703,718,743,832,327,358,398,455,487,539,499,524,566,615,53,54,53,59,58,57,53,54,58,65,34,36,35,35,38,40,39,47,45,48,49,47,43,44,42,41,41,40,43,41,40,43,38,35,39,47,51,46,48,48
 Erath ,PHR 2/3,Non-Border,Rural,39471,39847,40231,40662,41086,41526,41950,42363,42775,43181,3,3,4,4,5,28,27,29,24,26,28,23,28,30,32,36,41,43,47,48,56,34,36,37,40,3,3,3,2,2,2,2,2,2,2,1,1,3,2,2,3,4,4,2,3,5,4,4,5,5,3,4,5,4,4,0,0,0,0,0,0,0,0,0,0
 Falls ,PHR 7,Non-Border,Rural,17223,17092,16972,16835,16712,16603,16493,16390,16285,16183,2,2,2,2,1,8,8,8,8,8,8,10,9,7,6,8,8,7,7,7,8,1,0,3,4,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Fannin ,PHR 2/3,Non-Border,Rural,34231,34293,34370,34459,34524,34597,34671,34720,34753,34778,0,0,0,0,0,37,36,35,36,38,40,37,43,46,51,11,11,9,12,12,13,13,14,9,11,5,4,4,3,4,3,3,3,3,3,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,4,4,3,0,0,0,0,0,0,0,0,0,0
 Fayette ,PHR 7,Non-Border,Rural,25219,25383,25545,25722,25900,26086,26272,26452,26642,26834,0,0,0,0,0,9,8,9,10,10,11,10,10,12,12,4,5,6,6,6,5,10,11,12,14,2,2,3,4,4,3,3,3,2,1,1,1,2,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,2
 Fisher ,PHR 2/3,Non-Border,Rural,3963,3969,3979,3985,3983,3985,3980,3979,3980,3979,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Floyd ,PHR 1,Non-Border,Rural,6031,5980,5928,5886,5834,5786,5743,5687,5645,5595,0,0,0,0,0,3,2,2,2,2,2,1,2,1,1,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Foard ,PHR 2/3,Non-Border,Rural,1270,1265,1256,1248,1240,1240,1238,1232,1234,1231,0,0,0,0,0,3,3,2,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Fort Bend ,PHR 6/5S,Non-Border,Suburban,702044,727754,754361,781965,810619,840383,871351,903484,936811,971347,100,121,137,151,180,384,396,421,428,457,483,636,607,649,682,352,389,429,500,533,632,653,653,701,767,105,107,114,120,116,118,121,119,130,139,123,127,128,128,132,136,149,164,175,179,64,70,78,78,82,80,84,96,101,110,37,44,44,46,49,56,59,63,75,80
 Franklin ,PHR 4/5N,Non-Border,Rural,10730,10763,10802,10847,10885,10924,10954,10977,10996,11012,0,0,0,0,1,2,4,6,7,6,6,8,5,4,6,4,3,3,3,4,3,7,7,7,7,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Freestone ,PHR 7,Non-Border,Rural,19847,19863,19863,19872,19879,19860,19865,19860,19844,19838,1,0,0,0,0,2,2,1,1,1,1,2,2,4,5,6,6,6,6,6,6,2,2,1,3,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Frio ,PHR 8,Border,Rural,18565,18850,19130,19421,19718,20023,20327,20640,20965,21269,0,0,0,0,0,5,3,3,3,3,3,5,9,8,7,3,3,5,5,5,4,1,2,3,3,1,2,3,6,3,3,3,2,2,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,1,1,1
 Gaines ,PHR 1,Non-Border,Rural,19735,20194,20667,21130,21620,22121,22628,23150,23668,24199,1,1,1,1,1,1,2,2,2,2,2,0,1,2,2,3,3,3,3,3,3,1,2,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Galveston ,PHR 6/5S,Non-Border,Suburban,322292,328728,335200,341737,348442,355196,362099,369095,376165,383315,18,20,24,28,32,198,194,196,194,206,206,227,222,227,218,172,185,175,184,189,205,208,220,236,246,67,70,73,73,64,63,61,57,63,63,60,65,67,64,62,56,63,61,63,66,49,45,45,46,46,46,51,46,46,44,23,22,22,24,23,29,27,24,25,26
 Garza ,PHR 1,Non-Border,Rural,6615,6659,6691,6725,6756,6784,6820,6850,6882,6917,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,2,2,3,3,3,3,4,4,4,5,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Gillespie ,PHR 8,Non-Border,Rural,25393,25547,25682,25848,26019,26191,26361,26535,26721,26902,1,1,1,1,2,20,19,19,16,16,14,21,18,16,19,19,16,16,16,16,14,14,15,18,18,3,3,3,3,3,3,2,2,2,2,6,7,7,7,6,7,5,6,4,5,3,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
 Glasscock ,PHR 9/10,Non-Border,Rural,1290,1306,1318,1336,1349,1365,1380,1394,1412,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
