County,Public Health Region,La Paz Border Designation,Urban Rural Designation,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2023 Population,2024 Population,Assistant Behavioral Analysts and Behavioral Analysts 2020,Assistant Behavioral Analysts and Behavioral Analysts 2021,Assistant Behavioral Analysts and Behavioral Analysts 2022,Assistant Behavioral Analysts and Behavioral Analysts 2023,Assistant Behavioral Analysts and Behavioral Analysts 2024,"Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2015","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2016","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2017","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2018","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2019","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2020","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2021","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2022","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2023","Licensed Baccalaureate Social Worker, Licensed Clinical Social Worker, and Licensed Master Social Worker 2024",Licensed Professional Counselor 2015,Licensed Professional Counselor 2016,Licensed Professional Counselor 2017,Licensed Professional Counselor 2018,Licensed Professional Counselor 2019,Licensed Professional Counselor 2020,Licensed Professional Counselor 2021,Licensed Professional Counselor 2022,Licensed Professional Counselor 2023,Licensed Professional Counselor 2024,"Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2015","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2016","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2017","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2018","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2019","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2020","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2021","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2022","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2023","Licensed Psychological Associate, Licensed Psychologist, and Provisionally Licensed Psychologist 2024",Licensed Specialist School Psychologist 2015,Licensed Specialist School Psychologist 2016,Licensed Specialist School Psychologist 2017,Licensed Specialist School Psychologist 2018,Licensed Specialist School Psychologist 2019,Licensed Specialist School Psychologist 2020,Licensed Specialist School Psychologist 2021,Licensed Specialist School Psychologist 2022,Licensed Specialist School Psychologist 2023,Licensed Specialist School Psychologist 2024,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2015,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2016,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2017,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2018,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2019,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2020,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2021,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2022,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2023,Marriage and Family Therapist and Marriage and Family Therapist Assistant 2024,Psychiatrist 2015,Psychiatrist 2016,Psychiatrist 2017,Psychiatrist 2018,Psychiatrist 2019,Psychiatrist 2020,Psychiatrist 2021,Psychiatrist 2022,Psychiatrist 2023,Psychiatrist 2024
 Goliad ,PHR 8,Non-Border,Urban,7485,7521,7575,7622,7672,7717,7768,7825,7886,7953,0,0,0,0,0,3,4,3,3,3,3,3,2,3,3,8,7,6,6,6,9,7,5,3,4,1,1,1,1,0,0,0,0,0,0,2,2,3,3,5,4,5,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Gonzales ,PHR 8,Non-Border,Rural,20651,20796,20937,21075,21216,21347,21488,21636,21790,21936,0,0,0,0,1,5,5,4,5,5,5,7,5,7,6,3,3,4,4,4,5,7,7,6,6,4,3,2,3,3,2,2,3,2,2,5,4,3,5,4,3,3,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Gray ,PHR 1,Non-Border,Rural,23242,23434,23623,23830,24040,24252,24456,24695,24942,25199,0,0,0,0,0,9,10,10,9,10,11,11,10,11,10,9,9,9,9,10,15,7,7,7,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Grayson ,PHR 2/3,Non-Border,Urban,126409,127493,128563,129610,130657,131710,132740,133761,134751,135722,4,6,13,17,21,95,89,91,87,91,89,95,98,96,110,76,79,83,85,89,95,110,102,107,112,18,14,17,16,18,14,10,14,16,10,6,5,7,7,7,7,9,11,10,9,10,10,9,8,8,8,14,14,10,12,6,7,9,7,5,6,8,7,9,8
 Gregg ,PHR 4/5N,Non-Border,Urban,124043,124421,124780,125113,125425,125730,126034,126321,126594,126837,1,1,1,1,1,120,110,111,110,106,112,99,102,107,117,97,102,102,110,109,116,106,115,127,138,17,19,18,17,16,12,12,15,15,13,15,14,14,13,13,12,13,15,17,15,11,11,12,12,12,12,8,8,8,9,8,10,11,11,11,12,11,10,7,7
 Grimes ,PHR 7,Non-Border,Rural,27755,27998,28230,28476,28710,28930,29128,29344,29553,29751,0,0,1,1,3,7,6,6,5,4,3,9,9,13,9,5,5,8,8,8,9,6,5,6,6,1,1,0,0,0,0,0,1,0,0,3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
 Guadalupe ,PHR 8,Non-Border,Suburban,149395,153319,157370,161541,165837,170266,174869,179600,184455,189459,13,17,20,23,33,101,111,114,120,132,134,144,136,155,160,67,77,91,103,109,115,121,100,113,140,11,8,7,4,4,5,6,8,8,12,23,25,23,26,24,27,29,29,28,30,13,12,12,10,9,11,17,21,21,23,2,2,3,3,4,5,4,4,2,2
 Hale ,PHR 1,Non-Border,Rural,34731,34444,34150,33824,33527,33202,32901,32583,32291,31974,1,0,0,0,0,11,12,11,13,13,14,12,13,10,7,29,33,34,35,36,37,35,30,29,35,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1
 Hall ,PHR 1,Non-Border,Rural,3303,3303,3308,3311,3312,3305,3303,3302,3298,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Hamilton ,PHR 7,Non-Border,Rural,8338,8305,8274,8254,8234,8220,8210,8200,8200,8196,0,0,0,0,0,5,5,6,4,6,4,8,7,4,5,5,6,6,5,5,5,6,8,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
 Hansford ,PHR 1,Non-Border,Rural,5698,5723,5753,5780,5802,5820,5855,5890,5926,5957,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,2,2,2,2,2,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hardeman ,PHR 2/3,Non-Border,Rural,3963,3942,3923,3899,3888,3870,3854,3845,3832,3831,1,1,1,1,1,4,4,5,5,5,5,3,2,3,4,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
 Hardin ,PHR 6/5S,Non-Border,Urban,55738,55906,56051,56216,56350,56486,56626,56792,56932,57050,0,0,0,1,2,23,22,25,26,26,28,19,18,23,26,17,18,19,21,21,27,30,25,28,30,0,0,0,0,2,3,4,4,4,4,0,0,0,1,3,3,3,4,4,6,1,1,1,1,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0
 Harris ,PHR 6/5S,Non-Border,Urban,4527909,4616802,4706369,4796533,4887341,4978845,5071573,5164809,5258527,5352681,344,403,456,533,634,3456,3502,3596,3660,3770,3816,3508,3736,3945,4248,2443,2576,2705,2890,3080,3438,3072,3239,3427,3651,1052,1072,1091,1099,1135,1120,1113,1130,1127,1154,571,574,601,611,614,630,659,681,708,703,593,576,568,577,581,582,558,586,588,629,476,513,521,526,533,542,555,594,596,636
 Harrison ,PHR 4/5N,Non-Border,Rural,67021,67300,67523,67764,68004,68247,68492,68736,68931,69130,0,0,0,0,1,25,23,29,28,27,26,24,19,20,19,22,26,29,31,33,35,32,33,30,43,6,5,6,6,7,8,7,7,7,7,7,7,7,9,9,10,9,9,9,10,2,2,2,2,2,2,2,3,3,3,0,0,0,0,0,0,1,1,0,0
 Hartley ,PHR 1,Non-Border,Rural,6029,6040,6040,6041,6064,6067,6082,6092,6119,6117,0,0,0,0,0,1,3,3,3,3,2,2,4,3,1,3,3,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
 Haskell ,PHR 2/3,Non-Border,Rural,5983,6020,6061,6107,6150,6197,6237,6289,6330,6374,0,0,0,0,0,5,5,5,4,4,4,2,2,2,1,3,3,2,1,2,2,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0
 Hays ,PHR 7,Non-Border,Suburban,191851,199621,207880,216516,225516,234896,244221,253894,263970,274435,30,36,43,52,53,210,218,229,219,231,239,265,271,292,319,162,171,185,211,218,235,227,222,241,252,39,41,47,51,47,52,57,60,60,62,37,44,41,52,54,56,59,68,64,62,24,26,27,33,33,36,39,45,45,43,17,15,14,15,13,16,17,20,20,16
 Hemphill ,PHR 1,Non-Border,Rural,4151,4246,4336,4426,4527,4644,4761,4892,5031,5163,0,0,0,0,0,2,2,1,1,1,1,2,3,2,2,3,3,3,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Henderson ,PHR 4/5N,Non-Border,Rural,80005,80279,80527,80755,80985,81179,81369,81548,81679,81818,3,4,5,6,5,44,41,39,40,39,40,35,26,22,25,20,18,25,26,25,30,34,30,37,40,6,5,5,5,5,5,7,8,6,7,7,7,7,10,10,8,9,11,9,9,4,4,4,4,3,2,3,2,2,2,3,2,2,3,2,1,2,2,2,2
 Hidalgo ,PHR 11,Border,Urban,822205,831924,841585,851285,860844,870366,879547,888655,897703,906624,27,32,41,44,51,491,497,518,542,553,570,538,567,601,647,300,329,358,394,411,462,437,478,522,570,46,54,57,61,58,61,67,68,75,83,66,77,79,80,86,87,93,103,119,134,8,11,13,12,10,13,16,13,20,22,17,20,24,23,24,23,25,25,23,25
 Hill ,PHR 7,Non-Border,Rural,35475,35526,35582,35617,35644,35673,35678,35683,35666,35636,0,0,1,1,1,20,16,16,16,17,17,14,8,13,17,14,13,14,14,15,15,15,13,13,12,2,3,1,1,1,1,1,1,2,2,3,4,3,4,4,6,4,4,4,4,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0
 Hockley ,PHR 1,Non-Border,Rural,23723,23905,24083,24257,24455,24636,24799,24959,25129,25280,0,0,0,0,0,6,5,7,7,7,8,8,3,5,3,13,13,14,14,14,15,10,9,8,9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,2,3,2,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0
 Hood ,PHR 2/3,Non-Border,Rural,54870,55618,56362,57119,57881,58643,59402,60158,60915,61659,3,3,7,6,5,40,35,39,37,41,41,52,45,47,50,34,34,39,46,51,61,69,65,70,70,9,8,9,9,7,8,10,11,9,9,9,7,7,8,7,6,6,3,4,3,9,7,8,8,9,9,11,12,13,15,2,1,1,1,1,2,2,2,1,1
 Hopkins ,PHR 4/5N,Non-Border,Rural,36161,36353,36535,36710,36879,37040,37194,37334,37472,37579,2,2,1,1,1,32,29,31,31,40,41,28,22,27,32,16,16,16,16,19,23,27,25,27,31,2,3,3,3,3,3,3,3,3,4,6,5,5,5,6,6,6,6,5,5,2,2,2,2,2,2,1,2,2,2,0,0,0,0,1,1,1,0,0,0
 Houston ,PHR 4/5N,Non-Border,Rural,23135,23026,22931,22832,22738,22620,22531,22433,22321,22206,0,0,0,0,0,12,13,12,12,12,12,8,6,8,9,8,8,10,11,11,11,6,6,6,4,2,2,1,1,0,0,0,0,0,0,3,3,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
 Howard ,PHR 9/10,Non-Border,Rural,37856,38504,39167,39836,40521,41236,41941,42702,43463,44245,0,0,0,0,0,36,36,33,31,33,32,21,25,22,23,8,9,9,11,9,10,9,9,9,11,13,12,9,7,8,7,7,7,7,7,2,2,2,2,3,2,1,3,3,3,3,3,3,3,3,4,2,1,2,2,7,7,8,7,8,9,11,13,11,11
 Hudspeth ,PHR 9/10,Border,Rural,3410,3406,3399,3398,3401,3400,3403,3406,3404,3396,1,1,1,1,2,0,0,0,0,0,0,4,3,4,4,1,1,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hunt ,PHR 2/3,Non-Border,Suburban,90372,91327,92298,93305,94285,95324,96303,97277,98269,99237,4,6,7,7,11,61,64,70,69,65,67,59,75,70,68,65,69,80,80,83,84,62,60,64,68,5,5,7,8,9,9,10,11,11,8,7,10,8,8,7,6,8,8,9,11,10,9,8,4,5,5,1,4,5,3,6,7,6,7,10,11,11,9,7,6
 Hutchinson ,PHR 1,Non-Border,Rural,21747,21682,21624,21563,21511,21461,21424,21396,21372,21357,0,0,0,0,0,8,8,7,7,7,6,8,7,7,8,2,3,3,1,1,1,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0
 Irion ,PHR 9/10,Non-Border,Urban,1537,1531,1524,1518,1513,1508,1509,1506,1503,1496,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jack ,PHR 2/3,Non-Border,Rural,8933,8905,8888,8866,8845,8841,8830,8820,8793,8787,0,0,0,0,0,1,1,1,1,1,2,5,6,6,6,1,1,1,2,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jackson ,PHR 8,Non-Border,Rural,14965,15151,15330,15520,15699,15899,16099,16293,16469,16662,0,1,1,1,1,0,0,0,0,2,2,3,5,4,2,4,5,6,6,5,9,7,6,9,10,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jasper ,PHR 4/5N,Non-Border,Rural,35716,35696,35679,35649,35593,35525,35456,35374,35288,35182,0,1,1,1,0,19,18,18,15,15,15,17,16,18,18,14,14,14,15,15,20,16,11,11,12,0,0,0,1,2,2,2,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Jeff Davis ,PHR 9/10,Border,Rural,2198,2183,2168,2151,2129,2113,2092,2076,2054,2030,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jefferson ,PHR 6/5S,Non-Border,Urban,255300,255994,256679,257363,258020,258678,259249,259733,260138,260469,4,4,7,11,10,199,194,197,187,186,186,158,165,165,168,155,159,159,165,166,182,160,164,172,171,33,32,31,32,27,27,28,28,24,25,6,5,6,6,3,4,4,5,5,6,15,18,17,18,15,18,13,12,10,9,16,17,18,21,22,20,21,24,24,23
 Jim Hogg ,PHR 11,Border,Rural,5190,5170,5150,5122,5099,5077,5053,5026,4997,4969,0,0,0,0,0,1,2,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jim Wells ,PHR 11,Non-Border,Rural,41884,42090,42298,42509,42697,42890,43074,43229,43372,43508,0,0,0,0,0,18,18,18,17,18,20,21,19,18,18,17,22,21,21,23,28,22,23,26,29,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
 Johnson ,PHR 2/3,Non-Border,Suburban,161209,163278,165360,167450,169575,171701,173888,176087,178297,180523,4,6,9,14,19,94,102,106,98,102,100,134,128,147,170,69,81,80,93,100,119,112,111,108,120,7,8,6,6,7,6,6,8,8,10,5,6,7,12,14,10,8,9,8,12,6,7,7,7,7,10,12,11,11,12,5,5,6,5,5,4,4,4,4,3
 Jones ,PHR 2/3,Non-Border,Urban,19905,19862,19827,19790,19766,19735,19702,19666,19626,19588,1,1,1,1,2,4,6,6,6,5,5,5,4,4,3,3,2,3,2,4,6,5,3,7,10,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
 Karnes ,PHR 8,Non-Border,Rural,15034,15097,15171,15238,15309,15393,15466,15560,15658,15753,0,0,0,1,1,6,6,8,8,6,5,5,6,5,6,2,1,2,4,4,4,9,8,8,7,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kaufman ,PHR 2/3,Non-Border,Suburban,113657,115860,118095,120400,122724,125134,127644,130210,132834,135511,5,7,12,14,22,71,75,76,77,87,95,127,128,152,165,54,60,68,75,76,86,95,108,118,134,17,16,15,16,16,15,16,15,13,12,7,8,9,8,7,12,14,14,14,20,13,13,11,12,12,12,12,13,14,18,22,23,26,24,23,19,22,23,25,25
 Kendall ,PHR 8,Non-Border,Suburban,39084,40398,41764,43173,44686,46278,47967,49720,51591,53557,3,4,4,6,14,19,25,26,26,25,24,39,38,39,37,46,49,54,54,60,66,77,80,92,94,9,8,6,6,6,12,12,13,11,13,11,13,11,10,11,8,9,11,14,11,9,10,9,10,8,9,12,11,16,17,4,6,4,6,7,7,6,6,4,6
 Kenedy ,PHR 11,Border,Rural,445,451,458,464,470,476,483,487,490,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kent ,PHR 2/3,Non-Border,Rural,789,786,787,791,792,795,798,800,803,808,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kerr ,PHR 8,Non-Border,Rural,50864,51140,51421,51716,51993,52267,52544,52830,53104,53363,4,6,6,5,5,61,62,68,58,54,55,53,55,57,65,65,69,71,76,75,73,73,79,74,74,20,23,22,20,20,20,20,20,21,20,7,7,7,5,6,7,8,8,8,9,12,10,10,8,9,8,9,8,9,8,23,23,23,23,20,16,19,18,13,14
 Kimble ,PHR 9/10,Non-Border,Rural,4464,4440,4420,4387,4365,4344,4309,4277,4245,4208,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
 King ,PHR 1,Non-Border,Rural,295,298,301,303,306,309,313,317,320,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kinney ,PHR 8,Border,Rural,3486,3477,3468,3467,3465,3462,3458,3453,3453,3444,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kleberg ,PHR 11,Non-Border,Rural,31225,31129,31057,31028,31002,30987,30910,30857,30792,30737,0,0,1,1,0,12,11,12,13,15,16,14,19,18,18,21,22,30,30,29,29,19,23,28,28,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
 Knox ,PHR 2/3,Non-Border,Rural,3813,3838,3866,3888,3912,3937,3960,3987,4017,4043,0,0,0,0,0,2,2,2,1,2,1,3,3,3,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 La Salle ,PHR 8,Border,Rural,7556,7695,7844,8000,8154,8309,8479,8651,21467,21602,0,0,0,3,6,11,10,8,10,13,14,18,9,10,10,11,11,12,12,14,17,20,14,17,21,2,1,1,1,1,0,0,1,2,1,8,7,5,6,6,7,9,8,7,6,1,2,3,3,3,4,7,4,3,3,0,0,0,0,0,0,0,0,0,0
 Lamar ,PHR 4/5N,Non-Border,Rural,49980,50006,50022,50031,50032,50014,50009,49957,8825,9000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Lamb ,PHR 1,Non-Border,Rural,13356,13239,13128,13018,12903,12776,12672,12556,49897,49816,0,0,0,1,0,55,56,56,48,48,49,42,43,46,47,30,30,30,30,30,32,31,29,27,30,4,4,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,5,4,2,2,2,2,2,3,3,3,2,2
 Lampasas ,PHR 7,Non-Border,Urban,20295,20436,20581,20727,20885,21037,21193,21331,12440,12306,1,2,3,0,0,2,4,4,5,5,5,2,2,6,9,2,2,2,2,6,5,8,8,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Lavaca ,PHR 8,Non-Border,Rural,19818,19978,20155,20324,20522,20735,20958,21191,21426,21679,1,1,1,1,1,8,8,9,8,8,8,8,7,8,6,5,5,5,6,5,10,6,6,6,6,1,1,1,1,1,0,0,0,0,0,4,5,5,5,6,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
 Lee ,PHR 7,Non-Border,Rural,17102,17201,17298,17407,17502,17595,17691,17787,17881,17971,2,2,2,2,3,6,6,6,5,4,5,6,4,4,5,13,13,12,11,11,11,6,8,10,11,6,3,3,4,4,4,3,5,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Leon ,PHR 7,Non-Border,Rural,17227,17322,17414,17504,17617,17707,17805,17905,18006,18105,0,0,0,0,0,2,2,2,3,3,4,3,1,2,3,3,3,3,3,3,2,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
 Liberty ,PHR 6/5S,Non-Border,Suburban,80287,81282,82278,83276,84278,85284,86326,87353,88390,89433,1,1,1,2,2,12,13,9,11,11,11,16,14,13,14,16,16,22,22,23,28,21,18,17,21,2,3,1,1,2,2,3,4,2,1,5,6,6,5,4,3,4,4,5,6,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,1,2,2
 Limestone ,PHR 7,Non-Border,Rural,23481,23506,23538,23556,23544,23544,23559,23574,23579,23552,2,3,3,3,3,11,11,9,10,11,11,18,16,12,14,3,5,6,8,11,11,14,10,10,11,3,2,2,3,4,3,3,3,3,2,2,1,1,1,1,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2
 Lipscomb ,PHR 1,Non-Border,Rural,3459,3496,3541,3573,3618,3651,3694,3733,3773,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Live Oak ,PHR 11,Non-Border,Rural,11748,11812,11859,11912,11970,12030,12081,12132,12187,12245,0,0,0,0,0,1,1,1,1,0,0,1,1,1,2,6,7,6,6,6,6,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Llano ,PHR 7,Non-Border,Rural,19348,19372,19387,19408,19428,19452,19481,19503,19515,19527,0,0,0,0,1,6,6,6,6,7,5,4,5,4,4,3,3,4,4,5,4,8,8,10,11,0,0,0,1,2,0,0,0,0,0,1,1,1,3,3,1,1,1,2,3,2,2,2,2,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0
 Loving ,PHR 9/10,Non-Border,Rural,87,88,89,90,91,92,93,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Lubbock ,PHR 1,Non-Border,Urban,295763,299742,303884,308208,312653,317210,321818,326611,331479,336447,29,32,33,39,38,312,325,332,340,355,349,314,338,347,363,277,292,308,341,364,400,388,405,425,448,79,75,77,76,81,83,79,79,79,79,34,38,38,43,44,44,51,49,50,50,85,86,94,103,104,100,83,85,97,107,17,21,21,19,19,19,20,19,27,27
 Lynn ,PHR 1,Non-Border,Rural,5716,5689,5663,5642,5613,5588,5562,5534,5498,5465,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,5,5,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
